job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,class
3,1,0,0,0,0,1,6,1,1,56,261,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,1,0,0,1,6,1,1,57,149,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,2,0,1,6,1,1,37,226,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,1,0,0,0,1,6,1,1,40,151,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,2,1,6,1,1,56,307,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,2,1,0,0,1,6,1,1,45,198,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,5,0,0,0,1,6,1,1,59,139,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,1,0,0,1,6,1,1,41,217,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,0,2,0,1,6,1,1,24,380,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,3,0,2,0,1,6,1,1,25,50,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,1,0,0,1,6,1,1,41,55,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,2,3,0,2,0,1,6,1,1,25,222,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,2,3,0,0,2,1,6,1,1,29,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,0,0,0,2,0,1,6,1,1,57,293,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,2,0,1,6,1,1,35,146,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,1,2,1,2,2,1,6,1,1,54,174,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,0,2,0,1,6,1,1,35,312,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,1,1,2,2,1,6,1,1,46,440,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,2,1,6,1,1,50,353,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,2,2,1,0,0,1,6,1,1,39,195,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
10,1,3,0,0,0,1,6,1,1,30,38,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,2,0,1,6,1,1,55,262,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5,2,3,0,2,0,1,6,1,1,55,342,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,3,0,2,0,1,6,1,1,41,181,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,2,0,1,6,1,1,37,172,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,6,0,0,2,1,6,1,1,35,99,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,7,0,2,0,1,6,1,1,59,93,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
6,1,2,1,0,0,1,6,1,1,39,233,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,6,1,0,0,1,6,1,1,54,255,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
11,1,6,1,1,1,1,6,1,1,55,362,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,7,0,0,0,1,6,1,1,46,348,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,7,0,2,0,1,6,1,1,59,386,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,7,0,0,0,1,6,1,1,49,73,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,1,0,1,2,0,1,6,1,1,54,230,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,0,0,0,0,0,1,6,1,1,54,208,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
11,1,0,1,2,0,1,6,1,1,55,336,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
7,1,3,0,0,0,1,6,1,1,34,365,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,2,0,2,0,1,6,1,1,52,1666,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,0,1,6,1,1,41,577,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,1,0,0,2,0,1,6,1,1,56,137,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
4,3,6,0,2,0,1,6,1,1,58,366,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
2,1,3,0,2,0,1,6,1,1,32,314,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,5,0,0,0,1,6,1,1,38,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,0,2,1,6,1,1,57,212,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,1,2,0,1,6,1,1,44,188,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
9,2,5,1,0,0,1,6,1,1,42,22,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,2,1,6,1,1,57,616,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,0,2,1,6,1,1,40,178,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,6,0,2,0,1,6,1,1,35,355,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,2,0,2,0,1,6,1,1,45,225,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,0,0,1,6,1,1,54,160,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
3,1,0,0,0,2,1,6,1,1,39,266,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,1,3,0,0,0,1,6,1,1,60,253,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
0,2,5,0,0,0,1,6,1,1,53,179,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
1,1,0,1,0,0,1,6,1,1,55,269,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
